Date,Open,High,Low,Close,Volume
2024-08-14,1052.32,1066.87,1030.81,1047.56,912298
2024-08-15,1045.28,1050.11,1032.58,1034.68,687629
2024-08-16,1032.48,1035.11,1021.09,1022.19,963797
2024-08-19,1017.97,1037.28,1014.91,1032.47,509606
2024-08-20,1031.43,1048.49,1026.39,1044.29,446053
2024-08-21,1049.77,1058.75,1042.96,1053.11,454713
2024-08-22,1056.52,1056.59,1042.73,1042.92,101109
2024-08-23,1041.82,1055.77,1031.41,1046.86,802523
2024-08-26,1041.51,1049.7,1040.92,1049.01,531877
2024-08-27,1044.17,1063.48,1022.38,1052.76,143712
2024-08-28,1046.87,1069.14,1045.17,1066.84,224384
2024-08-29,1068.33,1071.63,1067.75,1070.74,199566
2024-08-30,1058.71,1092.62,1047.78,1081.96,864491
2024-09-02,1082.5,1093.9,1077.51,1083.39,795643
2024-09-03,1078.55,1088.58,1078.44,1088.41,643082
2024-09-04,1098.12,1114.97,1089.61,1099.04,819292
2024-09-05,1101.47,1112.18,1066.2,1075.35,170297
2024-09-06,1077.18,1083.35,1061.0,1070.52,752664
2024-09-09,1079.52,1092.03,1038.13,1063.28,634447
2024-09-10,1063.35,1065.77,1052.33,1053.41,556563
2024-09-11,1046.55,1049.55,1045.75,1049.38,626174
2024-09-12,1049.44,1076.85,1046.92,1073.23,659612
2024-09-13,1072.42,1080.43,1054.44,1059.61,697258
2024-09-16,1050.15,1076.66,1049.38,1075.32,886499
2024-09-17,1075.53,1084.07,1041.63,1048.5,709858
2024-09-18,1055.25,1069.14,1026.56,1043.55,477345
2024-09-19,1044.68,1049.06,1042.72,1046.41,467165
2024-09-20,1043.12,1058.47,1039.44,1055.92,234436
2024-09-23,1049.91,1070.27,1043.07,1067.5,921324
2024-09-24,1061.3,1107.52,1030.33,1080.53,441147
2024-09-25,1079.89,1095.26,1059.02,1075.2,612940
2024-09-26,1069.14,1074.57,1062.96,1068.07,189876
2024-09-27,1075.69,1088.65,1046.36,1082.13,439430
2024-09-30,1091.62,1092.4,1078.66,1079.35,647867
2024-10-01,1083.94,1091.6,1048.37,1059.02,520876
2024-10-02,1063.83,1064.08,1041.19,1041.34,246584
2024-10-03,1043.55,1072.32,1015.5,1027.29,189032
2024-10-04,1026.99,1035.81,1026.51,1035.26,267189
2024-10-07,1033.15,1041.49,1031.0,1037.78,533342
2024-10-08,1041.54,1049.43,1041.25,1048.84,327192
2024-10-09,1047.68,1049.14,1040.94,1042.43,986111
2024-10-10,1036.64,1049.95,1030.94,1045.22,374019
2024-10-11,1042.97,1090.06,1015.51,1055.34,588127
2024-10-14,1053.19,1053.39,1050.23,1050.76,625805
2024-10-15,1046.23,1062.06,1042.25,1058.28,784013
2024-10-16,1057.5,1081.3,1040.68,1048.09,906509
2024-10-17,1041.4,1043.65,1041.02,1042.69,472211
2024-10-18,1045.59,1053.03,1028.51,1037.04,887117
2024-10-21,1032.04,1035.27,1015.54,1018.75,245128
2024-10-22,1014.33,1028.0,1013.2,1026.49,541547
2024-10-23,1025.62,1029.09,1017.64,1019.57,213097
2024-10-24,1021.86,1039.02,1014.17,1020.07,598974
2024-10-25,1014.2,1028.04,1013.8,1027.73,925163
2024-10-28,1032.29,1039.28,1028.32,1034.92,578697
2024-10-29,1036.66,1084.85,1000.2,1045.56,521883
2024-10-30,1047.93,1051.47,1042.54,1044.33,408163
2024-10-31,1041.81,1069.77,1008.86,1038.02,290759
2024-11-01,1038.7,1049.79,1033.94,1037.09,994031
2024-11-04,1035.76,1042.14,1007.74,1011.15,237094
2024-11-05,1010.61,1013.72,988.0,989.5,753562
2024-11-06,994.97,999.05,966.7,970.17,955054
2024-11-07,962.74,965.19,953.06,955.95,136228
2024-11-08,949.23,965.79,944.49,961.97,578272
2024-11-11,959.64,971.52,943.08,949.19,764659
2024-11-12,948.67,952.54,941.06,944.09,916377
2024-11-13,947.98,963.18,947.53,962.77,496045
2024-11-14,962.79,966.37,954.37,957.92,696618
2024-11-15,959.73,975.23,944.97,968.8,874567
2024-11-18,963.74,968.18,949.37,955.52,224789
2024-11-19,958.48,962.99,951.11,952.87,587871
2024-11-20,942.82,946.36,937.5,939.57,662930
2024-11-21,944.48,953.14,922.61,935.08,120904
2024-11-22,932.61,947.16,932.6,947.14,942343
2024-11-25,950.35,958.75,915.06,922.89,668982
2024-11-26,919.37,940.32,908.12,929.18,858990
2024-11-27,931.21,946.87,917.14,932.77,532546
2024-11-28,926.35,940.96,915.93,924.74,332027
2024-11-29,926.79,927.58,903.18,904.96,874512
2024-12-02,902.04,906.59,901.35,906.21,855256
2024-12-03,905.86,906.63,897.92,899.28,998748
2024-12-04,895.18,904.34,893.04,902.69,939610
2024-12-05,909.17,910.19,900.51,903.26,343568
2024-12-06,903.75,926.87,898.85,925.23,258720
2024-12-09,923.95,928.9,916.01,922.18,687418
2024-12-10,919.16,923.77,895.23,908.3,978997
2024-12-11,913.94,922.28,907.29,911.02,705037
2024-12-12,906.02,922.62,897.78,914.3,474999
2024-12-13,918.14,950.73,905.79,933.21,903727
2024-12-16,933.69,945.49,933.33,945.18,580456
2024-12-17,940.51,951.81,936.99,950.53,797161
2024-12-18,949.65,975.06,948.33,971.67,232177
2024-12-19,961.48,969.57,943.69,954.64,183480
2024-12-20,953.85,961.27,931.11,945.77,553760
2024-12-23,945.78,957.67,923.88,932.9,287541
2024-12-24,932.97,935.55,924.45,927.73,257811
2024-12-25,932.51,935.0,908.07,908.85,688185
2024-12-26,912.02,919.15,910.53,917.78,885573
2024-12-27,911.28,926.81,904.25,915.0,761252
2024-12-30,910.49,920.46,886.2,895.08,123919
2024-12-31,893.46,902.41,875.51,881.72,476790
2025-01-01,881.34,899.93,870.53,886.13,343627
2025-01-02,887.98,909.11,874.8,897.54,159471
2025-01-03,897.49,942.17,883.8,924.69,254764
2025-01-06,924.03,978.26,903.0,965.38,153538
2025-01-07,974.71,984.9,950.42,971.67,292683
2025-01-08,966.53,976.75,951.06,957.54,221222
2025-01-09,954.42,959.01,924.91,927.2,421632
2025-01-10,928.58,935.72,917.3,931.21,936699
2025-01-13,918.86,925.69,905.63,920.13,209772
2025-01-14,926.23,926.75,914.29,914.67,997009
2025-01-15,910.55,913.82,899.72,906.55,619174
2025-01-16,909.12,916.45,900.44,904.91,544304
2025-01-17,894.57,920.27,893.77,919.65,215247
2025-01-20,922.27,924.69,914.46,922.09,630398
2025-01-21,929.85,933.85,914.99,920.17,934092
2025-01-22,911.86,912.94,904.85,906.15,611140
2025-01-23,902.54,905.12,881.84,883.66,411157
2025-01-24,883.49,891.11,859.66,877.48,450187
2025-01-27,880.97,885.71,874.65,877.04,844110
2025-01-28,879.94,907.02,877.81,900.56,950967
2025-01-29,898.87,905.94,897.84,902.59,134687
2025-01-30,909.9,917.27,905.93,916.16,866930
2025-01-31,906.94,911.8,897.93,909.58,397644
2025-02-03,909.47,926.98,882.5,893.68,244529
2025-02-04,891.92,909.62,853.65,881.01,967221
2025-02-05,878.1,888.32,858.04,871.69,437017
2025-02-06,860.6,904.64,855.2,899.79,983929
2025-02-07,895.3,903.46,880.19,888.97,206559
2025-02-10,892.55,904.32,888.51,900.42,886900
2025-02-11,899.5,902.37,884.72,888.49,247052
2025-02-12,886.0,901.38,885.93,901.17,515554
2025-02-13,902.49,913.38,894.91,906.65,409726
2025-02-14,901.78,911.02,891.7,904.79,976975
2025-02-17,906.91,914.92,898.19,904.51,486123
2025-02-18,906.44,910.15,890.03,895.9,962836
2025-02-19,897.36,906.53,888.22,902.16,140603
2025-02-20,904.7,909.8,891.97,896.27,851236
2025-02-21,898.36,902.99,876.82,880.06,457509
2025-02-24,878.4,889.97,858.14,863.46,270427
2025-02-25,865.09,869.99,852.0,865.95,737059
2025-02-26,859.39,896.36,848.87,886.72,214241
2025-02-27,888.34,893.83,881.52,889.12,974623
2025-02-28,894.57,916.15,868.37,887.8,425439
2025-03-03,888.22,896.25,874.46,891.88,501465
2025-03-04,888.88,914.21,882.31,909.61,285237
2025-03-05,918.08,923.14,905.05,912.88,979473
2025-03-06,918.28,919.7,906.42,907.53,275611
2025-03-07,910.68,925.09,908.2,922.86,281680
2025-03-10,920.93,956.77,891.13,929.07,413110
2025-03-11,925.11,968.25,894.7,950.75,440478
2025-03-12,949.72,954.69,948.35,953.65,687872
2025-03-13,949.31,953.74,927.42,936.42,251985
2025-03-14,935.15,938.81,909.84,917.49,567594
2025-03-17,917.1,946.66,913.45,940.48,530151
2025-03-18,937.36,968.6,935.36,965.08,673848
2025-03-19,966.48,985.8,931.96,962.77,528005
2025-03-20,961.2,966.47,951.48,957.53,485352
2025-03-21,956.98,1002.6,940.84,978.8,696276
2025-03-24,983.52,988.71,957.19,962.84,830910
2025-03-25,963.04,973.45,943.38,950.21,770683
2025-03-26,950.73,971.02,937.81,959.66,905219
2025-03-27,958.88,987.83,944.56,954.27,277900
2025-03-28,956.42,963.73,947.96,954.48,737341
2025-03-31,950.62,959.74,946.63,952.43,346086
2025-04-01,949.5,957.75,949.25,957.54,162938
2025-04-02,952.25,981.82,948.22,978.04,503416
2025-04-03,975.27,984.15,972.14,979.66,520736
2025-04-04,982.11,1014.48,968.0,989.42,345523
2025-04-07,989.76,993.25,955.38,959.29,312397
2025-04-08,960.3,966.45,951.53,958.88,880455
2025-04-09,952.8,988.41,910.83,947.04,812306
2025-04-10,952.15,955.7,920.28,930.01,544883
2025-04-11,932.59,935.32,914.33,918.04,197791
2025-04-14,913.63,922.73,903.41,913.71,885620
2025-04-15,912.52,932.62,907.68,926.54,645669
2025-04-16,925.44,941.11,897.78,908.38,252819
2025-04-17,901.26,918.55,896.1,909.07,850708
2025-04-18,906.21,909.57,894.36,902.74,338240
2025-04-21,900.97,902.37,896.97,898.58,311730
2025-04-22,895.72,918.92,887.06,912.36,489264
2025-04-23,912.48,922.48,910.95,920.0,851613
2025-04-24,914.19,939.0,913.78,938.73,134779
2025-04-25,944.31,946.14,936.25,936.84,455711
2025-04-28,929.24,940.69,915.72,927.34,469043
2025-04-29,920.91,938.46,906.2,924.5,984688
2025-04-30,926.59,932.34,924.82,928.14,756833
2025-05-01,927.89,939.97,922.19,930.88,266837
2025-05-02,937.2,943.04,909.55,916.02,822448
2025-05-05,917.34,918.94,916.27,917.54,949418
2025-05-06,919.98,956.27,899.07,920.95,131605
2025-05-07,923.61,956.56,923.36,956.0,925656
2025-05-08,961.42,996.42,953.1,983.21,880681
2025-05-09,977.21,986.98,967.26,970.92,802754
2025-05-12,976.18,990.34,943.94,967.02,574711
2025-05-13,959.91,965.62,943.01,946.09,206059
2025-05-14,939.03,939.48,937.49,937.99,455591
2025-05-15,934.73,945.55,929.08,942.71,710174
2025-05-16,941.59,978.91,919.74,960.04,749652
2025-05-19,960.66,977.04,925.67,949.83,526539
2025-05-20,955.49,960.7,931.95,940.8,355646
2025-05-21,937.51,938.71,909.67,910.78,371188
2025-05-22,909.74,924.82,892.83,908.83,846635
2025-05-23,907.55,923.05,881.51,894.62,546044
2025-05-26,891.76,899.36,885.86,887.78,456792
2025-05-27,891.66,897.28,873.51,876.37,879947
2025-05-28,874.04,885.64,860.53,875.39,321129
2025-05-29,867.79,870.31,850.58,852.58,672004
2025-05-30,842.66,844.38,832.41,834.07,676395
2025-06-02,838.34,862.76,837.33,860.96,620748
2025-06-03,860.47,872.3,832.56,844.59,398946
2025-06-04,847.15,851.69,826.01,830.95,164174
2025-06-05,838.94,858.51,826.49,854.09,622216
2025-06-06,854.41,892.02,854.05,891.57,569912
2025-06-09,885.14,888.38,872.27,876.17,252742
2025-06-10,872.58,873.05,871.01,871.59,857863
2025-06-11,865.87,884.13,863.56,876.32,788521
2025-06-12,874.16,908.35,862.99,899.3,365517
2025-06-13,896.76,906.16,876.07,886.26,649301
2025-06-16,881.69,883.97,881.0,883.27,714329
2025-06-17,878.6,901.27,874.8,893.83,300131
2025-06-18,889.73,914.71,856.97,899.93,591218
2025-06-19,900.25,910.68,883.02,895.12,935173
2025-06-20,889.09,895.52,886.86,893.59,164665
2025-06-23,894.02,924.01,856.4,875.43,521488
2025-06-24,880.29,887.47,864.78,872.57,185668
2025-06-25,872.53,875.44,866.53,869.34,128934
2025-06-26,867.92,874.48,867.27,872.63,663975
2025-06-27,874.56,876.65,862.43,865.62,307611
2025-06-30,867.69,872.01,867.68,872.01,998945
2025-07-01,863.4,886.97,861.91,885.51,624200
2025-07-02,888.45,896.17,879.01,887.84,873973
2025-07-03,891.26,902.98,877.08,892.79,372881
2025-07-04,896.64,917.28,874.45,893.77,818603
2025-07-07,894.03,903.6,884.31,894.04,554952
2025-07-08,895.02,897.77,883.03,884.63,397609
2025-07-09,884.68,899.42,878.15,889.1,305081
2025-07-10,889.25,892.48,881.32,888.07,259301
2025-07-11,889.1,917.26,888.09,916.22,623554
2025-07-14,915.45,942.88,905.38,938.12,500219
2025-07-15,933.03,960.67,914.74,943.83,109915
2025-07-16,942.84,948.92,930.27,933.31,282511
2025-07-17,930.69,936.45,909.85,918.01,544657
2025-07-18,921.36,947.06,911.74,934.69,141366
2025-07-21,941.34,942.72,935.11,938.66,679608
2025-07-22,933.66,948.1,931.49,945.7,192517
2025-07-23,942.0,948.22,917.56,921.23,301231
2025-07-24,914.09,936.49,908.63,934.33,933118
2025-07-25,939.33,942.8,931.33,940.98,956735
2025-07-28,941.13,943.12,923.69,925.58,973639
2025-07-29,927.94,934.64,914.06,919.32,653263
2025-07-30,916.48,927.81,905.24,923.23,167515
2025-07-31,927.97,943.36,908.04,924.23,380992
2025-08-01,921.54,928.49,915.69,920.46,297621
2025-08-04,918.6,928.68,914.17,919.31,873605
2025-08-05,919.15,925.43,905.01,916.11,934003
2025-08-06,916.54,935.22,911.12,918.48,179562
2025-08-07,915.02,942.32,907.59,939.03,778393
2025-08-08,940.18,961.27,888.33,903.16,858458
2025-08-11,907.26,918.96,895.46,900.22,896583
2025-08-12,897.34,904.05,894.58,902.87,142635
2025-08-13,903.95,907.82,903.31,907.15,569688
2025-08-14,905.76,906.74,901.66,902.36,686201
2025-08-15,893.82,894.96,877.24,878.86,454664
2025-08-18,876.39,883.7,876.11,883.44,119648
2025-08-19,884.32,912.2,881.4,906.6,804538
2025-08-20,909.07,911.17,883.51,886.01,356326
2025-08-21,887.36,898.92,886.14,897.76,138111
2025-08-22,894.77,896.61,890.87,893.6,988882
2025-08-25,893.18,906.19,886.22,893.05,531818
2025-08-26,900.98,903.63,877.12,879.21,950874
2025-08-27,879.91,880.01,874.87,875.07,937094
2025-08-28,875.13,896.7,868.75,892.39,873577
2025-08-29,885.82,907.21,881.92,900.46,577650
2025-09-01,906.35,927.14,904.81,924.13,452653
2025-09-02,927.53,942.98,922.7,940.73,337127
2025-09-03,945.07,954.46,939.69,947.2,425169
2025-09-04,942.49,975.84,933.63,972.27,408385
2025-09-05,975.99,984.34,968.97,978.96,772399
2025-09-08,979.22,999.65,973.28,991.41,739323
2025-09-09,985.99,997.44,978.92,987.3,567250
2025-09-10,985.77,990.35,985.23,988.58,934901
2025-09-11,987.61,989.05,976.57,978.54,346515
2025-09-12,978.81,1002.99,969.07,993.35,405106
2025-09-15,988.81,990.12,973.94,976.1,780984
2025-09-16,981.09,994.79,973.88,987.84,383123
2025-09-17,990.15,992.68,982.67,985.31,490914
2025-09-18,985.78,1008.19,974.64,1002.92,184907
2025-09-19,1010.66,1015.59,1007.83,1014.52,130761
2025-09-22,1013.1,1047.99,1006.01,1042.53,188094
2025-09-23,1043.63,1055.71,1040.18,1054.27,338692
2025-09-24,1056.85,1060.47,1028.06,1029.72,904368
2025-09-25,1033.7,1038.86,1024.42,1029.0,331635
2025-09-26,1028.85,1030.27,1009.31,1011.22,472067
2025-09-29,1016.62,1018.06,1002.44,1003.66,970833
2025-09-30,999.65,1030.08,997.83,1026.71,836404
2025-10-01,1033.18,1038.23,1032.74,1036.84,607476
2025-10-02,1033.11,1040.36,1017.17,1026.28,160774
2025-10-03,1026.93,1027.64,1010.7,1010.98,943346
2025-10-06,1012.12,1016.3,1005.67,1011.78,746256
2025-10-07,1008.02,1010.22,985.85,993.62,509816
2025-10-08,1000.09,1008.85,981.39,983.92,202617
2025-10-09,975.51,993.77,970.21,988.82,507205
2025-10-10,987.34,1023.12,979.94,1006.25,734745
2025-10-13,1008.81,1022.38,1004.48,1015.74,689913
2025-10-14,1006.28,1018.07,967.84,981.14,222823
2025-10-15,978.84,1004.64,965.83,985.91,154567
2025-10-16,980.98,987.55,980.79,987.27,335706
2025-10-17,987.34,995.22,985.33,993.7,794674
2025-10-20,994.15,1027.07,988.44,1018.08,918817
2025-10-21,1020.31,1025.22,980.02,986.88,988040
2025-10-22,993.25,1010.21,970.56,978.43,776367
2025-10-23,977.95,996.0,971.19,987.39,651195
2025-10-24,987.82,998.1,961.63,964.26,600571
2025-10-27,967.06,1009.13,949.72,985.9,269293
2025-10-28,979.56,1000.2,973.09,991.64,899225
2025-10-29,991.2,1010.43,977.9,1004.54,737366
2025-10-30,997.54,1003.72,992.97,996.23,755633
2025-10-31,992.52,1009.34,991.73,1008.69,780852
2025-11-03,1012.1,1045.26,995.26,1025.16,569542
2025-11-04,1026.43,1044.43,1009.75,1029.05,170868
2025-11-05,1029.76,1034.43,1028.46,1032.98,257083
2025-11-06,1031.87,1064.35,1025.37,1037.48,160280
2025-11-07,1040.75,1046.48,1010.55,1024.35,288063
2025-11-10,1034.01,1039.03,1016.82,1022.39,439061
2025-11-11,1028.04,1030.34,1017.17,1020.36,881412
2025-11-12,1031.98,1035.8,1021.51,1026.53,162224
2025-11-13,1032.71,1047.43,1031.02,1042.24,876293
2025-11-14,1038.33,1040.04,1024.09,1026.0,868267
2025-11-17,1011.83,1028.0,1006.24,1024.39,540008
2025-11-18,1024.45,1053.95,1006.92,1047.46,146574
2025-11-19,1054.62,1055.26,1035.44,1036.09,336985
2025-11-20,1038.19,1059.36,1004.07,1023.62,394208
2025-11-21,1029.46,1029.54,1026.97,1027.03,884893
2025-11-24,1034.58,1042.35,1032.26,1040.35,313782
2025-11-25,1041.71,1041.83,1040.41,1040.84,988467
2025-11-26,1045.18,1066.2,1033.92,1061.9,780467
2025-11-27,1050.99,1077.92,1047.97,1075.87,331855
2025-11-28,1072.14,1105.59,1055.52,1089.77,813043
2025-12-01,1089.57,1101.91,1088.28,1099.16,600289
2025-12-02,1100.94,1157.38,1085.55,1137.87,977131
2025-12-03,1135.86,1140.68,1132.37,1134.71,313031
2025-12-04,1132.51,1146.29,1096.58,1100.94,278182
2025-12-05,1100.31,1152.56,1079.28,1127.77,161758
2025-12-08,1123.83,1124.4,1119.75,1120.36,746515
2025-12-09,1111.78,1129.11,1103.37,1122.51,628769
2025-12-10,1126.26,1160.42,1107.01,1144.9,244350
2025-12-11,1135.4,1138.43,1114.32,1117.73,144166
2025-12-12,1116.7,1123.79,1089.38,1097.08,748194
2025-12-15,1098.62,1106.46,1063.99,1071.05,645576
2025-12-16,1062.23,1065.1,1054.47,1058.62,711146
2025-12-17,1053.85,1075.42,1034.02,1065.92,844696
2025-12-18,1073.15,1080.27,1066.46,1074.62,877697
2025-12-19,1064.62,1081.64,1063.52,1079.39,228706
2025-12-22,1085.51,1117.42,1036.67,1056.84,311356
2025-12-23,1048.8,1062.21,1012.57,1020.54,795255
2025-12-24,1015.65,1029.54,1012.02,1021.68,930972
2025-12-25,1022.03,1027.61,1011.54,1014.75,837505
2025-12-26,1027.96,1032.27,1016.51,1022.05,846235
2025-12-29,1019.32,1039.07,1013.38,1033.12,579173
2025-12-30,1033.58,1043.86,1029.01,1035.57,187077
2025-12-31,1029.05,1054.22,1021.18,1047.69,593752
2026-01-01,1043.63,1056.13,1040.2,1051.61,663543
2026-01-02,1049.18,1066.7,1042.83,1060.28,846178
2026-01-05,1060.48,1083.22,1025.33,1049.39,114833
2026-01-06,1058.92,1070.34,1039.94,1046.88,111157
2026-01-07,1046.28,1051.21,1045.49,1050.28,324843
2026-01-08,1051.49,1063.56,1051.48,1063.53,387699
2026-01-09,1059.47,1069.85,1045.19,1057.56,955001
2026-01-12,1054.67,1070.48,1046.59,1066.15,517347
2026-01-13,1068.73,1083.14,1046.75,1062.22,564917
2026-01-14,1067.03,1068.16,1059.3,1060.66,689496
2026-01-15,1064.93,1075.47,1063.34,1074.18,844097
2026-01-16,1077.16,1097.43,1018.65,1042.39,210060
2026-01-19,1045.22,1048.07,1021.57,1022.43,275165
2026-01-20,1022.07,1024.68,998.15,1000.0,505981
2026-01-21,1002.72,1005.96,962.74,965.3,211969
2026-01-22,961.1,964.46,949.25,955.77,948254
2026-01-23,958.06,971.14,954.72,966.8,778114
2026-01-26,964.44,967.56,961.22,962.96,699447
2026-01-27,954.87,967.45,953.94,966.1,795605
2026-01-28,964.27,993.25,936.78,982.18,840760
2026-01-29,983.94,1002.7,983.68,1002.03,938641
2026-01-30,997.32,1003.26,995.88,1001.29,359697
2026-02-02,1012.67,1027.78,1003.75,1021.93,667136
2026-02-03,1023.87,1031.03,1019.04,1023.64,840642
2026-02-04,1018.57,1030.43,1001.41,1011.09,876633
2026-02-05,1016.12,1017.09,1001.34,1002.38,698121
2026-02-06,998.21,1015.23,953.4,980.42,770121
2026-02-09,976.39,985.65,955.93,967.65,195348
2026-02-10,965.02,975.57,952.25,962.75,321382
2026-02-11,958.43,987.94,954.71,974.64,617338
2026-02-12,966.51,1006.98,960.1,1000.09,524692
2026-02-13,996.7,996.76,979.56,979.66,771083
2026-02-16,976.3,994.64,973.04,985.72,624414
2026-02-17,984.96,992.66,956.11,970.63,329612
2026-02-18,971.07,985.14,958.04,977.84,988250
2026-02-19,983.74,986.22,971.88,976.21,719876
2026-02-20,979.08,980.14,948.73,949.69,521564
2026-02-23,948.95,971.17,932.02,963.2,974794
2026-02-24,958.11,982.25,944.39,954.75,552860
2026-02-25,951.95,954.41,945.06,947.39,826702
2026-02-26,942.61,945.88,924.71,932.47,806238
2026-02-27,933.02,938.08,922.48,923.6,368883
2026-03-02,926.79,938.17,915.41,929.8,263370
2026-03-03,931.5,945.88,921.46,927.44,859967
2026-03-04,933.16,934.67,929.73,932.29,285645
2026-03-05,932.95,943.22,923.56,937.63,751611
2026-03-06,931.63,969.9,919.23,956.49,882715
2026-03-09,961.05,965.44,946.75,951.86,927198
2026-03-10,955.94,959.94,916.21,931.06,500738
2026-03-11,930.24,951.88,928.36,946.24,819561
2026-03-12,946.0,954.02,936.99,941.82,683737
2026-03-13,942.14,958.36,941.65,957.85,192990
2026-03-16,958.69,970.6,944.64,963.64,718164
2026-03-17,961.86,968.67,950.52,962.04,167625
2026-03-18,956.41,983.93,943.87,967.36,664089
2026-03-19,965.41,1007.48,951.32,995.96,543216
2026-03-20,991.71,1030.23,987.76,1027.29,395901
2026-03-23,1033.25,1038.61,1024.86,1028.66,885915
2026-03-24,1023.25,1032.79,1019.33,1031.44,354280
2026-03-25,1037.01,1066.08,1028.91,1048.4,711230
2026-03-26,1052.98,1063.6,1026.89,1035.42,518691
2026-03-27,1032.61,1049.46,1028.52,1040.9,506093
2026-03-30,1044.91,1056.2,1030.02,1040.81,684844
2026-03-31,1038.59,1055.8,1004.29,1046.03,489698
2026-04-01,1040.74,1049.31,1017.63,1033.26,309297
2026-04-02,1035.25,1035.97,1008.22,1008.94,488186
2026-04-03,1006.67,1024.17,957.21,977.87,694781
2026-04-06,983.25,988.43,955.73,961.77,385950
2026-04-07,958.68,959.79,953.48,955.44,601240
2026-04-08,951.35,952.61,950.48,951.53,118235
2026-04-09,944.98,983.37,940.12,979.46,576135
2026-04-10,979.5,998.2,974.38,996.01,396167
2026-04-13,1000.2,1005.18,960.3,981.93,197477
2026-04-14,981.98,989.04,980.78,987.35,649260
2026-04-15,999.66,1012.86,976.72,981.61,660764
2026-04-16,984.03,985.52,977.22,977.72,997362
2026-04-17,978.09,983.14,977.48,980.73,930577
2026-04-20,977.47,995.09,967.74,990.13,706162
2026-04-21,994.97,995.87,983.37,985.39,131023
2026-04-22,981.34,1006.29,973.56,1001.41,706729
2026-04-23,996.96,1013.16,970.02,984.56,428666
2026-04-24,979.21,991.75,967.13,984.95,893716
2026-04-27,987.77,1036.57,980.16,1023.62,320164
2026-04-28,1024.22,1040.42,994.78,1027.36,251780
2026-04-29,1029.39,1051.96,1025.36,1049.75,961924
2026-04-30,1049.74,1055.44,1048.22,1051.51,922042
2026-05-01,1049.76,1065.22,1047.03,1060.98,323152
2026-05-04,1057.6,1070.69,1054.64,1060.4,632960
2026-05-05,1060.81,1067.06,1052.16,1058.0,616460
2026-05-06,1063.41,1069.48,1043.4,1045.95,937534
2026-05-07,1046.06,1066.71,1031.51,1053.02,744517
2026-05-08,1053.01,1067.74,1030.13,1039.88,645625
2026-05-11,1049.4,1054.57,1039.13,1050.58,244304
2026-05-12,1043.89,1076.85,1039.27,1067.99,594059
2026-05-13,1069.47,1089.94,1061.46,1074.19,981318
2026-05-14,1080.51,1091.96,1063.18,1069.9,771107
2026-05-15,1077.5,1081.86,1075.63,1077.5,171555
2026-05-18,1077.63,1081.94,1069.01,1072.84,728371
2026-05-19,1075.1,1099.57,1071.86,1088.21,393546
2026-05-20,1086.61,1109.76,1032.41,1058.65,382739
2026-05-21,1059.25,1061.84,1051.65,1053.63,440189
2026-05-22,1055.24,1059.79,1018.15,1022.49,986828
2026-05-25,1019.0,1025.22,989.28,999.86,671987
2026-05-26,999.71,1027.88,994.72,1020.62,774563
2026-05-27,1013.76,1043.32,1002.38,1034.63,323807
2026-05-28,1034.17,1051.22,1004.17,1023.77,653145
2026-05-29,1021.49,1022.66,999.69,1001.01,638001
